	0
Atlantic Coast Line Railroad	188.118
Atlantic Ocean	178840
Atlantic herring	0
Atlantic slave trade	8631.29
Atlantis	3422.69
Atom	23699.8
Atonality	106.849
Attack on Pearl Harbor	7178.18
Attalus I	129.676
Attention-deficit hyperactivity disorder	454.787
Attila the Hun	2123.14
Auckland	1551.17
Augusta, Lady Gregory	295.215
Augustan literature	7682.27
Auguste Rodin	2658.14
Augustine of Hippo	4478.02
Augustus	1652.37
Australia	263975
Australian English	1514.7
Australian Green Tree Frog	27959.5
Australian Open	802.22
Australian Ringneck	0
Australian constitutional law	0
Australian rules football	2549.12
Austria	43673
Autism	1975.98
Auto racing	3054.4
Autobianchi Primula	0
Autocracy	248.041
Automated teller machine	4927.06
Automatic number plate recognition	0
Automobile	25275.6
Autorack	45.8229
Autostereogram	0
Autumn	3209.47
Avacha Volcano	9.7936
Avalanche	383.881
Avatar:  The Last Airbender	6.9282
Avocado	2931.86
Avon Gorge	713.009
Avro Lancaster	173.959
Axe	1534.38
Ayaan Hirsi Ali	994.058
Aye-aye	0
Aymer de Valence, 2nd Earl of Pembroke	25.6029
Azerbaijan	19773.1
Azerbaijani people	1146.61
Aztec	5834.7
B vitamins	1293.68
BAE Systems	2134.42
BASIC	174.839
BBC	50893
BBC television drama	9796.5
BP	862.29
BT Tower	255.97
Babe Ruth	275.943
Baboon	63.2574
Babur	383.567
Baby Gender Mentor	0
Babylonia	6662.56
Backgammon	799.421
Bacteria	43479.2
Baden-Powell House	0
Badger	3221.23
Badminton	1985.53
Baghdad	6656.13
Bahamas	0
Bahrain	4320.82
Bahá'í Faith	6676.06
Baker Island	858.069
Bald Eagle	15358.7
Baltic Sea	12311.2
Baltimore, Maryland	11063.9
Bamako	331.09
Banana	13147.5
Bandicoot	38.9504
Bangalore	6012.49
Bangkok	1465.32
Bangladesh	30107.7
Banjul	528.857
Bank of China (Hong Kong)	0
Banknote	1218.38
Banksy	207.189
Bantu	1303.76
Barack Obama	241.693
Barbados	12880.6
Barbara McClintock	676.453
Barbary Lion	88.9057
Barbary Macaque	63.6081
Barcelona	9653.11
Barium	2212.74
Barley	3003.15
Barn Owl	137.94
Barnacle	538.62
Baroque	19914.6
Barracuda	13.8454
Baruch Spinoza	2217.81
Baseball	20635.8
Basel	2100.22
Basil	885.67
Basil Brush	18.5899
Basilica of San Francesco d'Assisi	21.5253
Basilica of Santa Maria degli Angeli	10.9177
Basketball	23821.7
Basking shark	324.14
Bass (fish)	22.7239
Basset Hound	0
Bassoon	311.898
Bat	20701.6
Bat-eared Fox	62.3702
Bath School disaster	41.7218
Bath, Somerset	1183.81
Batholith	174.004
Batman	5027.06
Battle of Alesia	40.0001
Battle of Amiens	126.112
Battle of Austerlitz	1867.37
Battle of Badr	6.50032
Battle of Bicocca	3.23719
Battle of Britain	1104.86
Battle of Cannae	90.8113
Battle of France	315.721
Battle of Gettysburg	812.8
Battle of Grunwald	197.33
Battle of Hastings	523.739
Battle of Jutland	260.563
Battle of Lechaeum	9.95809
Battle of Leyte Gulf	62.0077
Battle of Marathon	7446.07
Battle of Midway	5851.71
Battle of Moscow	4687.93
Battle of Normandy	4784.12
Battle of Rennell Island	14.3147
Battle of Sitka	32.689
Battle of Smolensk (1943)	25.1117
Battle of Stalingrad	8113.81
Battle of Tours	565.136
Battle of Vaslui	0.691731
Battle of Warsaw (1920)	174.25
Battle of the Bulge	2283.06
Battle of the Eastern Solomons	111.838
Battle of the Little Bighorn	299.835
Battle of the Santa Cruz Islands	20.3464
Battle of the Somme (1916)	483.86
Battles of the Mexican-American War	0
Bay Area Rapid Transit	170.448
Bay of Bengal	373.367
Beach	7862.62
Bean	607.755
Bear	5500.02
Beatles for Sale	130.699
Beaver	4241.69
Bedbug	67.6311
Bede	2871.54
Bee	7775.37
Beeching Axe	577.872
Beekeeping	1417.62
Beep (SWBLW)	0
Beer	22871.4
Beet	527.049
Beetle	7432.16
Behavioral finance	8.27999
Behistun Inscription	235.799
Beijing	37797.1
Beirut	1864.35
Belarus	12755.8
Belfast	2462.95
Belgium	70904.4
Belize	6095.94
Belton House	0
Ben Jonson	14595
Ben Nevis	3071.17
Ben-Hur (1959 film)	0
Bench language	0
Benin	2911.3
Benito Mussolini	2775.72
Benjamin Britten	6731.27
Benjamin Disraeli, 1st Earl of Beaconsfield	1110.38
Benjamin Franklin	13852
Benjamin Harrison	1344.47
Benjamin Mountfort	52.7928
Benjamin of Tudela	0
Benzene	5568.94
Berber languages	1138.79
Beriberi	1398.49
Berkelium	20.4218
Berlin	38554.2
Berlin Wall	2097.91
Bermuda	10347.6
Bernard Hinault	8.44779
Bertrand Russell	13863.8
Beryllium	2743.6
Betelgeuse incident	0
Bette Davis	1421.42
Bhutan	10296.7
Bible	19117.9
Bicycle	8269.99
Bicycle Thieves	32.6526
Big Bang	22094.1
Bill Clinton	26122
Bill Gates	5573.65
Billie Holiday	205.508
Binary star	3036.01
Binoculars	2885.91
Binomial nomenclature	24315.1
Biodiesel	41606.1
Biodiversity	23837.3
Biofuel	2925.37
Bioinformatics	3179.59
Biology	44323.4
Bionicle:  Mask of Light	0
Biosphere	4137.31
Biotechnology	7095.79
Bird	177979
Bird migration	56035.8
Bird of prey	3710.69
Birmingham	40521.9
Birth control	7673.91
Bismuth	4682.72
Bison	1998.05
Bissau	214.483
Björn Borg	3085.65
Bjørnøya	488.741
Black Death	23506
Black Rhinoceros	76.0803
Black Robin	0
Black Sea	7242.47
Black Seminoles	0
Black Wildebeest	27.8116
Black hole	2926.13
Black panther	163.826
Black pepper	8646.33
Black widow spider	0
Black-backed Jackal	17.2862
Black-footed Cat	0
Black-winged Stilt	259.258
Blackbird	653.161
Blackcap	7.96631
Blackjack	63.6403
Blackpool	207.531
Blacktip reef shark	4604.99
Blade Runner	2647.48
Blaise Pascal	5309.4
Blitzkrieg	2869.58
Blokus	0
Blood type	4768.46
Blue Jay	343.791
Blue Peter	531.538
Blue Tit	0
Blue Whale	2122.84
Blue Wildebeest	3006.75
Blue shark	44.5168
Bluegrass music	761.405
Bluetooth	1586.96
Boa	34.6324
Board game	6083.06
Boat	662.843
Bob Dylan	10170
Bob Marley	793.434
Bobcat	308.578
Body mass index	31.8135
Bodyline	141.448
Boeing 747	3325.87
Bog	7962.07
Bogotá	345.491
Bohemian Rhapsody	18.335
Bohor Reedbuck	0
Bohrium	373.79
Bolivia	15457.5
Bologna	6033.94
Boltysh crater	48.0279
Bongo (antelope)	4583.94
Bonobo	755.751
Bontebok	5.0941
Booby	12.3015
Book	4325.11
Book of Common Prayer	479.055
Book of Kells	2630.55
Boolean logic	4834.02
Borage	153.859
Boris Becker	12938.7
Boron	4664.31
Bosnia and Herzegovina	8249.54
Boston RFC	60.2685
Boston Terrier	84.1707
Boston and Lowell Railroad	0
Boston, Massachusetts	49805.7
Botany	6033.05
Botswana	7469.64
Bottlenose Dolphin	3367.66
Boudica	6196.94
Boundary Waters Canoe Area Wilderness	31.9169
Bourbonnais train accident	0
Bouvet Island	112.678
Box jellyfish	32.4151
Boy Scout	106.713
Boyle Roche	0
Brabantian	193.533
Brabham	192.609
Brachiosaurus	1400.83
Brahman	1739.17
Brain	36858.1
Bran	257.815
Brandon Routh	47.1748
Brass instrument	1162.06
Brasília	119.997
Bratislava	2280.44
Brazil	63303
Bread	7952.38
Breaker Morant	42.3453
Bretton Woods system	1717.4
Brian Close	0
Bridge	32095.3
Brighton	7474.89
Brisbane	2842.18
Bristol	40829.3
British East India Company	6710.85
British Empire	73378.1
British English	7636.58
British House of Commons	13643.4
British Indian Ocean Territory	2554.17
British Isles	43735.7
British Isles (terminology)	415.772
British Virgin Islands	2072.34
British monarchy	51463
Britney Spears	628.823
Broadcasting	2350.08
Bromine	2929.98
Bronze Age	8940.74
Brothers Grimm	187.333
Brown trout	451.689
Bruce Lee	56.7445
Bruce Springsteen	227.248
Brunei	1180
Brush	629.862
Brussels	17940.9
Brute force attack	232.686
Bryce Canyon National Park	703.323
Btrieve	0
Bucharest	9274.22
Buckingham Palace	11705.4
Buckminster Fuller	234.76
Budapest	21247.2
Buddha	1469.34
Buddhism	55733.5
Buddhist art	658.166
Buenos Aires	6060.28
Buffy the Vampire Slayer	5308.26
Bulgaria	22694
Bull shark	701.639
Burkina Faso	6152.07
Burundi	3152.78
Bushbuck	4.24674
Bushpig	0
Business	5397.79
Butter	6056.22
Button	959.675
Byzantine Empire	40642.9
C++	2790.95
C. S. Lewis	10853.5
CF7	165.543
CPU cache	0
CS gas	706.23
Cactus	2823.08
Cadmium	3927.48
Caesar cipher	4608.42
Caesium	6895.85
Caesium fluoride	4.31518
Cai Lun	4.6656
Cairo	10893.6
Calcite	2236.34
Calcium	23424.8
Calcium chloride	376.671
Calculus	16567.5
Calgary	1827.48
California	105608
California Southern Railroad	41.1159
Californium	848.886
Calligraphy	10513.8
Caloris Basin	0.916488
Calvin Coolidge	693.321
Calvin and Hobbes	2972.4
Camarasaurus	169.479
Cambodia	13688.6
Cambrian	3672.47
Cambrian explosion	1716.52
Cambridge	16979.4
Camel	3357.76
Cameroon	7549.86
Canada	195273
Canada Goose	5872.29
Canadian Charter of Rights and Freedoms	962.513
Canadian English	814.518
Canadian House of Commons	663.096
Canadian Pacific Railway	37359.7
Canadian Senate	918.221
Canadian football	149.982
Canal	5302.18
Canaletto	71.7032
Canberra	13888.7
Cancer	39781.3
Cane Toad	91.3891
Canola	182.248
Canterbury	3632.73
Canterbury Cathedral	1940.92
Canute the Great	6911.07
Capacitance	559.754
Cape Canaveral	205.918
Cape Horn	1208.16
Cape Lion	20.029
Cape Porcupine	0
Cape Town	10577.3
Cape Verde	6447.15
Capital	48496.4
Capitalism	26710
Capitoline Triad	8.53523
Captain Marvel (DC Comics)	0
Caracas	454.166
Caratacus	3.84919
Caravaggio	955.408
Carbon	48937
Carbon dioxide	46429.3
Carboniferous	5686.68
Carcinus maenas	124.311
Card game	12715.7
Cardiff	5152.83
Caribbean Sea	4587.41
Carl Friedrich Gauss	7288.82
Carl G. Fisher	0
Carl Jung	7454.06
Carl Lewis	148.888
Carl Sagan	10309.9
Carlsbad Caverns National Park	36.999
Carnivore	35612
Caroline Island	219.206
Carolingian Gospel Book (British Library, MS Add. 11848)	0
Carolus Linnaeus	38391
Carrot	2504.92
Casablanca (film)	392.715
Casimir effect	103.939
Caspian Sea	2917.6
Cassini-Huygens	1015.97
Cassowary	218.062
Castra	166.621
Cat	7293.73
Cat Stevens	164.806
Cat's Eye Nebula	0.714352
Cataract	910.716
Cataract surgery	0
Cathedral of Magdeburg	14.6972
Catherine Cranston	0
Catherine II of Russia	1309.53
Catholic social teaching	258.919
Cattle	23086.5
Cave	5371.38
Cayman Islands	11322.6
Celeriac	0.638132
Celery	8115.32
Celine Dion	2100.55
Cell (biology)	10887.9
Cello	1128.63
Celtic F.C.	4786.32
Celtic Park	10.8558
Celtic mythology	2317.79
Central African Republic	5304.84
Central processing unit	3928.47
Ceratopsidae	6523.9
Cereal	18810.6
Cerebellum	2543.4
Ceres (dwarf planet)	842.908
Cerium	733.53
Chad	9140.61
Chadian-Sudanese conflict	5.20167
Chaffinch	94.883
Channel Islands	4015.26
Charlemagne	12910.5
Charles Babbage	2055.29
Charles Darwin	45522.8
Charles Dickens	20841.4
Charles Etienne Brasseur de Bourbourg	157.941
Charles I of England	10228.6
Charles II of England	21568.7
Charles Sumner	490.213
Charles V, Holy Roman Emperor	13703.9
Charlie Chaplin	2506.1
Charlotte's Web	60.3036
Chartism	69.4865
Che Guevara	1682.94
Cheers	5663.46
Cheese	17991.4
Cheetah	6793.7
Chelsea F.C.	4822.41
Chemical element	18063.1
Chemical synapse	187.967
Chemistry	31850.7
Chennai	2948.81
Chepstow Bridge	0
Chernobyl disaster	2104.22
Chess	5603.11
Chester A. Arthur	633.319
Chestnut	6262.55
Chew Magna	20847.5
Chew Stoke	78.0516
Chew Valley	6879.61
Chew Valley Lake	11539.2
Chicago	31730
Chicago Bears	361.565
Chicago and North Western Railway	5242.12
Chicken	13520.3
Child	822.509
Children's Crusade	722.739
Children's rights movement	295.495
Chile	31017.6
Chiltern Hills	43.4332
Chimpanzee	5170.14
China	216126
Chinese Rites controversy	0
Chinese language	29570.1
Chinyingi	2.19965
Chives	641.545
Chlorine	16696.2
Chocolate	8594.39
Chola dynasty	429.484
Cholera	9780.15
Chordate	6079.94
Chris Evert	6478
Christian Bale	1169.75
Christian monasticism	6697.85
Christianity	66412.3
Christina Aguilera	1239.9
Christmas Island	9533.11
Christopher Columbus	11708.5
Christopher Wren	8877.14
Chromatic aberration	66.3643
Chromatophore	141.396
Chromium	3808.85
Church of England	11927.4
Church of Ireland	5619.16
Cicely	0
Cider	1525.59
Cinema of the United States	46651.1
Citizen Kane	1050.16
Citizenship	3005.75
Citrus	14633.4
City	24733.6
City status in the United Kingdom	17487
Civil War token	0
Civil rights	3503.29
Civil society	2845.36
Civilization	39132.7
Civilization (computer game)	2303.03
Clarinet	2095.76
Classic female blues	0.191031
Claude Lévi-Strauss	251.401
Claude Monet	541.22
Claudius	695.541
Clay	3702.91
Cleopatra VII	2828.46
Cleopatra VII of Egypt	0
Cleveland, Ohio	4605.86
Clifton Suspension Bridge	84.6554
Climate	7301.81
Climate change	15485.3
Clock	5274.13
Clone Wars (Star Wars)	588.975
Clothing	7884.69
Cloud	4634.93
Coal	67417.7
Coal Tit	0
Cobalt	5319.55
Coccinellidae	230.182
Cochineal	746.393
Cockatiel	47.082
Cocoa	4613.79
Coconut	8354.91
Coconut crab	1046.81
Coconut oil	117.44
Cocos (Keeling) Islands	841.326
Cod	2251.41
Code of Hammurabi	336.813
Coffee	7229.39
Coin	5302.84
Cold War	30896.6
Colditz Castle	0
Colima (volcano)	8.01816
Collapse of the World Trade Center	10.9269
Colley Cibber	2436.27
Cologne	5988.81
Colombia	6641.89
Colombo	490.106
Color	34209.1
Color blindness	969.192
Colorado River	5520.8
Colossus of Rhodes	32.3799
Columba	856.859
Columbia River	1150.28
Columbine High School massacre	4707.47
Columbus, Ohio	5073.24
Comet	27098.5
Comet Hale-Bopp	5216.79
Comet Halley	3206.58
Comet Hyakutake	5342.48
Comet Shoemaker-Levy 9	2266.7
Comet White-Ortiz-Bolelli	0
Comics	2472.58
Comma Johanneum	94.2953
Commodore 64	1427.52
Common Basilisk	0
Common Cuckoo	6159.68
Common Eider	0
Common Eland	4.8669
Common Hazel	57.2699
Common Pheasant	0
Common Tern	76.455
Common agouti	0
Common cold	1500.01
Common sage	323.219
Commonwealth Games	14979.6
Communication	2773.22
Communism	29547
Community	7205.03
Comoros	1732.54
Compact Disc	3657.59
Company (law)	603.998
Compsognathus	77.2591
Computational chemistry	146.401
Computer	132678
Computer and video games	9170.48
Computer programming	536.286
Computer science	6802.93
Conakry	58.7487
Concorde	3455.4
Condoleezza Rice	7256.73
Conflict	271.248
Confucianism	7815.56
Confucius	1409.75
Congo River	1765.46
Consolation of Philosophy	176.006
Constantine I	1342.04
Constantine II of Scotland	37.529
Constitution of May 3, 1791	155.256
Constitutional monarchy	11997.6
Constructivism (art)	6634.17
Consumer protection	91.5249
Contact lens	6076.11
Continent	20408.2
Continental crust	387.425
Control car (rail)	0
Convention on the International Trade in Endangered Species of Wild Flora and Fauna	25.7233
Convention on the Rights of the Child	416.643
Cook Islands	586.594
Cookiecutter shark	60.0182
Cooperative	1941.97
Coot	291.476
Copenhagen	9265.7
Copenhagen Fire of 1728	0
Copper	76234.6
Copper(I) chloride	35.7599
Coriander	1465.87
Corinthian War	6987.08
Cormorant	5591.34
Corn oil	60.6723
Cornea	2373.91
Cornell University	24094
Coronation Street	1120.84
Corporate finance	5887.75
Corporation	7367.46
Corrosion	4201.1
Corundum	209.438
Cosmic inflation	872.167
Cosmic microwave background radiation	1067.65
Costa Rica	9093.09
Costume design	43.5995
Cotopaxi	33.6799
Cotswolds	542.825
Cotton	13778.7
Coulomb's law	294.182
Country	8186.56
Coupling (railway)	9719.3
Coventry	4895.91
Crab Nebula	60.9424
Crash test dummy	58.5046
Craters of the Moon National Monument and Preserve	324.421
Craton	234.365
Creation-evolution controversy	1487.06
Creationism	4865.24
Creative Commons	2496.13
Cretaceous	39693.1
Cretaceous-Tertiary extinction event	18041.7
Cricket	25911.1
Crime	9012.51
Crime and Punishment	581.808
Crime in Mexico	0
Crimean Karaites	17.3342
Crimean War	11400.6
Crimson-collared Tanager	0
Cristero War	0
Criticism of the War on Terrorism	92.4298
Croatia	12687.5
Crocodile	5007.97
Crohn's disease	1772.86
Cross Fell	26.951
Crossbill	0
Crow	7919.96
Crown Jewels of the United Kingdom	602.502
Crusades	19155.7
Crust (geology)	1626.65
Crustacean	6068.48
Cryptography	25108.7
Crystal	4271.73
Crystallographic defects in diamond	0
Cuba	48072.4
Cubeb	2280.13
Cubism	865.517
Cuckmere Haven	9.67378
Cultivar	381.803
Cultural diversity	20.3331
Cultural identity	193.308
Culture	32092.2
Culture of the Democratic Republic of the Congo	0
Curium	536.775
Currency	33546.8
Cyanocobalamin	1269.87
Cyberpunk	864.872
Cyclamen	0
Cyclone Percy	0
Cyclone Rosita	0
Cyclops	468.727
Cymbopogon	233.589
Cyprus	25859.8
Cyril Clarke	0
Cyrus K. Holliday	26.7943
Cyrus the Great	660.323
Cystic fibrosis	860.52
Czech Republic	5621.34
Cædmon	3273.27
Côte d'Ivoire	8264.79
DNA	42897.4
DNA repair	569.574
DVD	617.119
Dad's Army	0
Dada	1000.02
Dakar	2311.96
Dakota, Minnesota and Eastern Railroad	64.7372
Daley Thompson	0
Dallas, Texas	9453.09
Dam	7507.76
Damascus	11379.5
Damascus steel	126.451
Damon Hill	8559.03
Dance	3660.16
Dandelion	3659.8
Daniel Day-Lewis	1206.54
Daniel Ellsberg	15.9363
Danny Deever	0
Danske Statsbaner	45.7758
Dante Alighieri	2670.72
Danube	2500.46
Darfur conflict	1723.09
Dark Ages	2552.83
Darling River	46.3099
Darmstadtium	167.37
Darth Vader	761.67
Dartmoor	75.5037
Das Kapital	87.7721
Data Encryption Standard	82.682
David Attenborough	937.81
David Beckham	339.344
David Blanchflower	0
David Cameron	907.031
David Copperfield (novel)	171.86
David Helvarg	0
David Heymann	0
David Hilbert	2387.73
David Hume	4546.56
David III of Tao	0
David Livingstone	943.21
Davis Cup	5821.44
Davy Jones' Locker	0
Day	21198.9
Dayuan	4607.86
Dead Sea	10053.6
Dead Sea scrolls	255.451
Death Valley National Park	1223.66
Decade Volcanoes	1531.66
Deconstructivism	228.127
Defaka	0
Defense of Sihang Warehouse	0
Definition of planet	426.284
Deinonychus	93.94
Deity	9412.6
Delhi	6752.01
Deluge (mythology)	7552.69
Demand Note	34.3918
Democracy	27454.3
Democratic Action Party	0
Democratic Republic of the Congo	32338.6
Demosthenes	2143.91
Denis Law	30.0416
Denmark	51022.4
Dennis Ritchie	774.245
Denver, Colorado	3712.81
Derby	2126.3
Desert	11488.4
Desert locust	224.426
Desmond Tutu	1127.61
