	0.000
Blacktip reef shark	4604.988
Blade Runner	2647.484
Blaise Pascal	5309.403
Blitzkrieg	2869.575
Blokus	0.000
Blood type	4768.459
Blue Jay	343.791
Blue Peter	531.538
Blue Tit	0.000
Blue Whale	2122.842
Blue Wildebeest	3006.753
Blue shark	44.517
Bluegrass music	761.405
Bluetooth	1586.960
Boa	34.632
Board game	6083.061
Boat	662.843
Bob Dylan	10169.958
Bob Marley	793.434
Bobcat	308.578
Body mass index	31.813
Bodyline	141.448
Boeing 747	3325.874
Bog	7962.065
Bogotá	345.491
Bohemian Rhapsody	18.335
Bohor Reedbuck	0.000
Bohrium	373.790
Bolivia	15457.498
Bologna	6033.941
Boltysh crater	48.028
Bongo (antelope)	4583.941
Bonobo	755.751
Bontebok	5.094
Booby	12.302
Book	4325.112
Book of Common Prayer	479.055
Book of Kells	2630.555
Boolean logic	4834.024
Borage	153.859
Boris Becker	12938.730
Boron	4664.312
Bosnia and Herzegovina	8249.536
Boston RFC	60.269
Boston Terrier	84.171
Boston and Lowell Railroad	0.000
Boston, Massachusetts	49805.733
Botany	6033.046
Botswana	7469.642
Bottlenose Dolphin	3367.662
Boudica	6196.939
Boundary Waters Canoe Area Wilderness	31.917
Bourbonnais train accident	0.000
Bouvet Island	112.678
Box jellyfish	32.415
Boy Scout	106.713
Boyle Roche	0.000
Brabantian	193.533
Brabham	192.609
Brachiosaurus	1400.825
Brahman	1739.171
Brain	36858.120
Bran	257.815
Brandon Routh	47.175
Brass instrument	1162.059
Brasília	119.997
Bratislava	2280.442
Brazil	63303.001
Bread	7952.375
Breaker Morant	42.345
Bretton Woods system	1717.402
Brian Close	0.000
Bridge	32095.349
Brighton	7474.895
Brisbane	2842.178
Bristol	40829.258
British East India Company	6710.848
British Empire	73378.120
British English	7636.582
British House of Commons	13643.437
British Indian Ocean Territory	2554.171
British Isles	43735.739
British Isles (terminology)	415.772
British Virgin Islands	2072.336
British monarchy	51462.967
Britney Spears	628.823
Broadcasting	2350.083
Bromine	2929.980
Bronze Age	8940.743
Brothers Grimm	187.333
Brown trout	451.689
Bruce Lee	56.745
Bruce Springsteen	227.248
Brunei	1179.997
Brush	629.862
Brussels	17940.940
Brute force attack	232.686
Bryce Canyon National Park	703.323
Btrieve	0.000
Bucharest	9274.219
Buckingham Palace	11705.435
Buckminster Fuller	234.760
Budapest	21247.197
Buddha	1469.341
Buddhism	55733.517
Buddhist art	658.166
Buenos Aires	6060.282
Buffy the Vampire Slayer	5308.263
Bulgaria	22693.952
Bull shark	701.639
Burkina Faso	6152.070
Burundi	3152.784
Bushbuck	4.247
Bushpig	0.000
Business	5397.787
Butter	6056.221
Button	959.675
Byzantine Empire	40642.935
C++	2790.946
C. S. Lewis	10853.484
CF7	165.543
CPU cache	0.000
CS gas	706.230
Cactus	2823.079
Cadmium	3927.482
Caesar cipher	4608.420
Caesium	6895.850
Caesium fluoride	4.315
Cai Lun	4.666
Cairo	10893.586
Calcite	2236.336
Calcium	23424.805
Calcium chloride	376.671
Calculus	16567.453
Calgary	1827.478
California	105608.490
California Southern Railroad	41.116
Californium	848.886
Calligraphy	10513.777
Caloris Basin	0.916
Calvin Coolidge	693.321
Calvin and Hobbes	2972.401
Camarasaurus	169.479
Cambodia	13688.597
Cambrian	3672.465
Cambrian explosion	1716.522
Cambridge	16979.447
Camel	3357.756
Cameroon	7549.862
Canada	195272.816
Canada Goose	5872.288
Canadian Charter of Rights and Freedoms	962.513
Canadian English	814.518
Canadian House of Commons	663.096
Canadian Pacific Railway	37359.663
Canadian Senate	918.221
Canadian football	149.982
Canal	5302.183
Canaletto	71.703
Canberra	13888.652
Cancer	39781.306
Cane Toad	91.389
Canola	182.248
Canterbury	3632.734
Canterbury Cathedral	1940.917
Canute the Great	6911.069
Capacitance	559.754
Cape Canaveral	205.918
Cape Horn	1208.164
Cape Lion	20.029
Cape Porcupine	0.000
Cape Town	10577.324
Cape Verde	6447.154
Capital	48496.353
Capitalism	26709.969
Capitoline Triad	8.535
Captain Marvel (DC Comics)	0.000
Caracas	454.166
Caratacus	3.849
Caravaggio	955.408
Carbon	48936.957
Carbon dioxide	46429.294
Carboniferous	5686.678
Carcinus maenas	124.311
Card game	12715.728
Cardiff	5152.828
Caribbean Sea	4587.410
Carl Friedrich Gauss	7288.816
Carl G. Fisher	0.000
Carl Jung	7454.064
Carl Lewis	148.888
Carl Sagan	10309.923
Carlsbad Caverns National Park	36.999
Carnivore	35612.032
Caroline Island	219.206
Carolingian Gospel Book (British Library, MS Add. 11848)	0.000
Carolus Linnaeus	38391.035
Carrot	2504.922
Casablanca (film)	392.715
Casimir effect	103.939
Caspian Sea	2917.603
Cassini-Huygens	1015.973
Cassowary	218.062
Castra	166.621
Cat	7293.729
Cat Stevens	164.806
Cat's Eye Nebula	0.714
Cataract	910.716
Cataract surgery	0.000
Cathedral of Magdeburg	14.697
Catherine Cranston	0.000
Catherine II of Russia	1309.533
Catholic social teaching	258.919
Cattle	23086.452
Cave	5371.385
Cayman Islands	11322.645
Celeriac	0.638
Celery	8115.315
Celine Dion	2100.549
Cell (biology)	10887.914
Cello	1128.633
Celtic F.C.	4786.316
Celtic Park	10.856
Celtic mythology	2317.786
Central African Republic	5304.842
Central processing unit	3928.469
Ceratopsidae	6523.897
Cereal	18810.564
Cerebellum	2543.400
Ceres (dwarf planet)	842.908
Cerium	733.530
Chad	9140.610
Chadian-Sudanese conflict	5.202
Chaffinch	94.883
Channel Islands	4015.257
Charlemagne	12910.545
Charles Babbage	2055.285
Charles Darwin	45522.774
Charles Dickens	20841.411
Charles Etienne Brasseur de Bourbourg	157.941
Charles I of England	10228.643
Charles II of England	21568.732
Charles Sumner	490.213
Charles V, Holy Roman Emperor	13703.904
Charlie Chaplin	2506.096
Charlotte's Web	60.304
Chartism	69.487
Che Guevara	1682.945
Cheers	5663.465
Cheese	17991.375
Cheetah	6793.696
Chelsea F.C.	4822.414
Chemical element	18063.144
Chemical synapse	187.967
Chemistry	31850.679
Chennai	2948.805
Chepstow Bridge	0.000
Chernobyl disaster	2104.222
Chess	5603.107
Chester A. Arthur	633.319
Chestnut	6262.552
Chew Magna	20847.543
Chew Stoke	78.052
Chew Valley	6879.611
Chew Valley Lake	11539.244
Chicago	31730.034
Chicago Bears	361.565
Chicago and North Western Railway	5242.115
Chicken	13520.307
Child	822.509
Children's Crusade	722.739
Children's rights movement	295.495
Chile	31017.599
Chiltern Hills	43.433
Chimpanzee	5170.141
China	216126.006
Chinese Rites controversy	0.000
Chinese language	29570.081
Chinyingi	2.200
Chives	641.545
Chlorine	16696.179
Chocolate	8594.388
Chola dynasty	429.484
Cholera	9780.155
Chordate	6079.938
Chris Evert	6478.001
Christian Bale	1169.755
Christian monasticism	6697.847
Christianity	66412.259
Christina Aguilera	1239.902
Christmas Island	9533.113
Christopher Columbus	11708.542
Christopher Wren	8877.137
Chromatic aberration	66.364
Chromatophore	141.396
Chromium	3808.847
Church of England	11927.411
Church of Ireland	5619.155
Cicely	0.000
Cider	1525.591
Cinema of the United States	46651.087
Citizen Kane	1050.156
Citizenship	3005.747
Citrus	14633.435
City	24733.623
City status in the United Kingdom	17487.006
Civil War token	0.000
Civil rights	3503.293
Civil society	2845.360
Civilization	39132.650
Civilization (computer game)	2303.030
Clarinet	2095.759
Classic female blues	0.191
Claude Lévi-Strauss	251.401
Claude Monet	541.220
Claudius	695.541
Clay	3702.913
Cleopatra VII	2828.461
Cleopatra VII of Egypt	0.000
Cleveland, Ohio	4605.857
Clifton Suspension Bridge	84.655
Climate	7301.812
Climate change	15485.307
Clock	5274.125
Clone Wars (Star Wars)	588.975
Clothing	7884.695
Cloud	4634.933
Coal	67417.685
Coal Tit	0.000
Cobalt	5319.550
Coccinellidae	230.182
Cochineal	746.393
Cockatiel	47.082
Cocoa	4613.787
Coconut	8354.914
Coconut crab	1046.810
Coconut oil	117.440
Cocos (Keeling) Islands	841.326
Cod	2251.411
Code of Hammurabi	336.813
Coffee	7229.388
Coin	5302.841
Cold War	30896.586
Colditz Castle	0.000
Colima (volcano)	8.018
Collapse of the World Trade Center	10.927
Colley Cibber	2436.268
Cologne	5988.810
Colombia	6641.893
Colombo	490.106
Color	34209.071
Color blindness	969.192
Colorado River	5520.795
Colossus of Rhodes	32.380
Columba	856.859
Columbia River	1150.283
Columbine High School massacre	4707.467
Columbus, Ohio	5073.235
Comet	27098.543
Comet Hale-Bopp	5216.788
Comet Halley	3206.585
Comet Hyakutake	5342.480
Comet Shoemaker-Levy 9	2266.699
Comet White-Ortiz-Bolelli	0.000
Comics	2472.580
Comma Johanneum	94.295
Commodore 64	1427.521
Common Basilisk	0.000
Common Cuckoo	6159.679
Common Eider	0.000
Common Eland	4.867
Common Hazel	57.270
Common Pheasant	0.000
Common Tern	76.455
Common agouti	0.000
Common cold	1500.006
Common sage	323.219
Commonwealth Games	14979.622
Communication	2773.216
Communism	29547.015
Community	7205.028
Comoros	1732.545
Compact Disc	3657.587
Company (law)	603.998
Compsognathus	77.259
Computational chemistry	146.401
Computer	132678.259
Computer and video games	9170.484
Computer programming	536.286
Computer science	6802.929
Conakry	58.749
Concorde	3455.404
Condoleezza Rice	7256.734
Conflict	271.248
Confucianism	7815.556
Confucius	1409.750
Congo River	1765.457
Consolation of Philosophy	176.006
Constantine I	1342.037
Constantine II of Scotland	37.529
Constitution of May 3, 1791	155.256
Constitutional monarchy	11997.558
Constructivism (art)	6634.173
Consumer protection	91.525
Contact lens	6076.113
Continent	20408.173
Continental crust	387.425
Control car (rail)	0.000
Convention on the International Trade in Endangered Species of Wild Flora and Fauna	25.723
Convention on the Rights of the Child	416.643
Cook Islands	586.594
Cookiecutter shark	60.018
Cooperative	1941.968
Coot	291.476
Copenhagen	9265.696
Copenhagen Fire of 1728	0.000
Copper	76234.592
Copper(I) chloride	35.760
Coriander	1465.865
Corinthian War	6987.081
Cormorant	5591.339
Corn oil	60.672
Cornea	2373.911
Cornell University	24093.960
Coronation Street	1120.842
Corporate finance	5887.750
Corporation	7367.461
Corrosion	4201.099
Corundum	209.438
Cosmic inflation	872.167
Cosmic microwave background radiation	1067.647
Costa Rica	9093.088
Costume design	43.599
Cotopaxi	33.680
Cotswolds	542.825
Cotton	13778.734
Coulomb's law	294.182
Country	8186.558
Coupling (railway)	9719.297
Coventry	4895.911
Crab Nebula	60.942
Crash test dummy	58.505
Craters of the Moon National Monument and Preserve	324.421
Craton	234.365
Creation-evolution controversy	1487.060
Creationism	4865.243
Creative Commons	2496.125
Cretaceous	39693.094
Cretaceous-Tertiary extinction event	18041.737
Cricket	25911.103
Crime	9012.513
Crime and Punishment	581.808
Crime in Mexico	0.000
Crimean Karaites	17.334
Crimean War	11400.622
Crimson-collared Tanager	0.000
Cristero War	0.000
Criticism of the War on Terrorism	92.430
Croatia	12687.478
Crocodile	5007.966
Crohn's disease	1772.864
Cross Fell	26.951
Crossbill	0.000
Crow	7919.958
Crown Jewels of the United Kingdom	602.502
Crusades	19155.717
Crust (geology)	1626.647
Crustacean	6068.476
Cryptography	25108.658
Crystal	4271.728
Crystallographic defects in diamond	0.000
Cuba	48072.404
Cubeb	2280.131
Cubism	865.517
Cuckmere Haven	9.674
Cultivar	381.803
Cultural diversity	20.333
Cultural identity	193.308
Culture	32092.176
Culture of the Democratic Republic of the Congo	0.000
Curium	536.775
Currency	33546.785
Cyanocobalamin	1269.869
Cyberpunk	864.872
Cyclamen	0.000
Cyclone Percy	0.000
Cyclone Rosita	0.000
Cyclops	468.727
Cymbopogon	233.589
Cyprus	25859.803
Cyril Clarke	0.000
Cyrus K. Holliday	26.794
Cyrus the Great	660.323
Cystic fibrosis	860.520
Czech Republic	5621.341
Cædmon	3273.271
Côte d'Ivoire	8264.788
DNA	42897.367
DNA repair	569.574
DVD	617.119
Dad's Army	0.000
Dada	1000.019
Dakar	2311.962
Dakota, Minnesota and Eastern Railroad	64.737
Daley Thompson	0.000
Dallas, Texas	9453.089
Dam	7507.755
Damascus	11379.474
Damascus steel	126.451
Damon Hill	8559.030
Dance	3660.158
Dandelion	3659.796
Daniel Day-Lewis	1206.545
Daniel Ellsberg	15.936
Danny Deever	0.000
Danske Statsbaner	45.776
Dante Alighieri	2670.719
Danube	2500.456
Darfur conflict	1723.090
Dark Ages	2552.834
Darling River	46.310
Darmstadtium	167.370
Darth Vader	761.670
Dartmoor	75.504
Das Kapital	87.772
Data Encryption Standard	82.682
David Attenborough	937.810
David Beckham	339.344
David Blanchflower	0.000
David Cameron	907.031
David Copperfield (novel)	171.860
David Helvarg	0.000
David Heymann	0.000
David Hilbert	2387.732
David Hume	4546.556
David III of Tao	0.000
David Livingstone	943.210
Davis Cup	5821.445
Davy Jones' Locker	0.000
Day	21198.936
Dayuan	4607.859
Dead Sea	10053.646
Dead Sea scrolls	255.451
Death Valley National Park	1223.660
Decade Volcanoes	1531.656
Deconstructivism	228.127
Defaka	0.000
Defense of Sihang Warehouse	0.000
Definition of planet	426.284
Deinonychus	93.940
Deity	9412.596
